batter,matches,runs,balls_faced,fours,sixes,innings,dismissals,fifties,hundreds,highest_score,strike_rate,batting_average
X Thalaivan Sargunam,1,10,17,0,0,1,1,0,0,10,58.82,10.0
XC Bartlett,4,40,28,3,2,4,2,0,0,18,142.86,20.0
Y Gnaneswara Rao,1,19,17,3,0,1,1,0,0,19,111.76,19.0
Y Nagar,20,285,259,20,9,20,14,0,0,44,110.04,20.36
Y Prithvi Raj,1,0,1,0,0,1,0,0,0,0,0.0,
Y Venugopal Rao,52,985,836,77,37,52,44,3,0,71,117.82,22.39
YA Abdulla,1,0,1,0,0,1,0,0,0,0,0.0,
YBK Jaiswal,82,2593,1697,311,110,82,77,18,2,124,152.8,33.68
YK Pathan,153,3222,2245,263,161,154,110,13,1,100,143.52,29.29
YS Chahal,17,37,86,0,0,17,7,0,0,8,43.02,5.29
YV Dhull,3,16,23,1,0,3,3,0,0,13,69.57,5.33
YV Takawale,10,192,178,26,3,10,8,0,0,45,107.87,24.0
Yash Dayal,4,4,9,0,0,4,3,0,0,3,44.44,1.33
Yashpal Singh,4,47,66,5,0,4,4,0,0,20,71.21,11.75
Younis Khan,1,3,7,0,0,1,1,0,0,3,42.86,3.0
Yudhvir Singh,4,22,16,1,2,4,4,0,0,14,137.5,5.5
Yuvraj Singh,126,2754,2122,218,149,127,111,13,0,83,129.78,24.81
Z Khan,27,117,141,11,2,27,14,0,0,23,82.98,8.36
