bowler,matches,legal_balls,runs_conceded,wickets,overs,economy
C Bosch,8,163,250,13,27.1,9.2
V Nigam,18,288,469,13,48.0,9.77
PVD Chameera,20,396,648,13,66.0,9.82
Akash Singh,12,247,406,13,41.1,9.86
Harsh Dubey,11,192,326,13,32.0,10.19
Nithish Kumar Reddy,26,325,577,13,54.1,10.65
TK Curran,13,238,430,13,39.4,10.84
GD McGrath,14,324,357,12,54.0,6.61
Ankit Sharma,21,367,450,12,61.1,7.36
BA Bhatt,15,296,397,12,49.2,8.05
Umar Gul,6,135,184,12,22.3,8.18
K Kartikeya,16,282,407,12,47.0,8.66
AN Ahmed,17,344,498,12,57.2,8.69
VRV Singh,18,360,542,12,60.0,9.03
R McLaren,18,354,542,12,59.0,9.19
Karanveer Singh,9,204,321,12,34.0,9.44
Joginder Sharma,15,256,419,12,42.4,9.82
A Chandila,12,234,242,11,39.0,6.21
SM Pollock,13,276,301,11,46.0,6.54
S Badree,12,258,319,11,43.0,7.42
J Theron,10,221,302,11,36.5,8.2
AB McDonald,10,186,261,11,31.0,8.42
RS Bopara,14,206,292,11,34.2,8.5
DJG Sammy,19,236,350,11,39.2,8.9
J Little,11,228,339,11,38.0,8.92
MA Wood,5,120,179,11,20.0,8.95
JL Pattinson,10,213,320,11,35.3,9.01
Abhishek Sharma,36,365,550,11,60.5,9.04
OC McCoy,8,161,250,11,26.5,9.32
Pankaj Singh,17,300,468,11,50.0,9.36
TS Mills,10,209,343,11,34.5,9.85
Simarjeet Singh,14,240,400,11,40.0,10.0
CJ Anderson,22,297,518,11,49.3,10.46
SC Ganguly,20,276,363,10,46.0,7.89
DJ Hooda,34,379,546,10,63.1,8.64
Kamran Khan,9,166,239,10,27.4,8.64
V Pratap Singh,9,204,296,10,34.0,8.71
Lalit Yadav,19,288,425,10,48.0,8.85
N Rana,27,216,325,10,36.0,9.03
BCJ Cutting,17,281,429,10,46.5,9.16
WG Jacks,19,191,314,10,31.5,9.86
B Laughlin,9,168,282,10,28.0,10.07
Akash Deep,14,278,548,10,46.2,11.83
SMSM Senanayake,8,192,209,9,32.0,6.53
IS Sodhi,8,181,202,9,30.1,6.7
AG Murtaza,12,264,313,9,44.0,7.11
SE Bond,8,186,224,9,31.0,7.23
Shahid Afridi,10,180,225,9,30.0,7.5
KP Appanna,13,216,286,9,36.0,7.94
MN Samuels,11,214,284,9,35.4,7.96
AJ Hosein,8,172,238,9,28.4,8.3
AM Nayar,19,229,322,9,38.1,8.44
V Shankar,22,238,344,9,39.4,8.67
KMA Paul,8,163,237,9,27.1,8.72
P Parameswaran,8,154,224,9,25.4,8.73
JEC Franklin,15,151,220,9,25.1,8.74
JDP Oram,14,237,349,9,39.3,8.84
M Siddharth,9,186,283,9,31.0,9.13
Yash Raj Punja,8,180,279,9,30.0,9.3
BE Hendricks,7,150,235,9,25.0,9.4
N Thushara,8,180,283,9,30.0,9.43
Shivang Kumar,13,234,375,9,39.0,9.62
R Parag,34,319,515,9,53.1,9.69
MP Yadav,10,217,367,9,36.1,10.15
JA Duffy,6,144,263,9,24.0,10.96
J Yadav,20,390,445,8,65.0,6.85
T Thushara,6,135,161,8,22.3,7.16
BAW Mendis,10,244,303,8,40.4,7.45
SB Styris,11,216,276,8,36.0,7.67
JD Ryder,16,236,303,8,39.2,7.7
AA Chavan,13,248,326,8,41.2,7.89
Anand Rajan,8,149,201,8,24.5,8.09
J Syed Mohammad,11,192,283,8,32.0,8.84
DJ Hussey,26,317,474,8,52.5,8.97
S Sandeep Warrier,10,168,253,8,28.0,9.04
Mohammad Asif,8,192,296,8,32.0,9.25
JDS Neesham,13,216,334,8,36.0,9.28
KC Cariappa,11,216,348,8,36.0,9.67
I Udana,10,174,282,8,29.0,9.72
Yudhvir Singh,9,138,253,8,23.0,11.0
M Ntini,9,210,242,7,35.0,6.91
KP Pietersen,13,174,215,7,29.0,7.41
AM Salvi,7,150,200,7,25.0,8.0
PC Valthaty,10,151,205,7,25.1,8.15
B Stanlake,6,144,200,7,24.0,8.33
HF Gurney,8,162,238,7,27.0,8.81
Swapnil Singh,14,162,241,7,27.0,8.93
GC Viljoen,6,138,222,7,23.0,9.65
AF Milne,11,227,368,7,37.5,9.73
A Mithun,16,288,472,7,48.0,9.83
Ramandeep Singh,6,56,94,7,9.2,10.07
SH Johnson,12,230,396,7,38.2,10.33
KM Asif,7,133,231,7,22.1,10.42
P Amarnath,6,132,236,7,22.0,10.73
XC Bartlett,13,261,484,7,43.3,11.13
DJ Willey,11,216,272,6,36.0,7.56
VS Malik,13,205,261,6,34.1,7.64
S Randiv,8,174,223,6,29.0,7.69
B Akhil,13,188,242,6,31.2,7.72
TL Suman,11,150,197,6,25.0,7.88
JE Taylor,5,117,157,6,19.3,8.05
S Tyagi,14,209,295,6,34.5,8.47
MG Bracewell,5,66,95,6,11.0,8.64
S Kaushik,10,204,297,6,34.0,8.74
SS Cottrell,6,120,176,6,20.0,8.8
C de Grandhomme,19,216,319,6,36.0,8.86
RR Raje,10,139,209,6,23.1,9.02
V Puthur,5,72,109,6,12.0,9.08
Y Venugopal Rao,20,216,337,6,36.0,9.36
D Pretorius,7,150,238,6,25.0,9.52
AK Markram,24,223,357,6,37.1,9.61
Zeeshan Ansari,10,203,333,6,33.5,9.84
Jaskaran Singh,7,102,171,6,17.0,10.06
Fazalhaq Farooqi,12,254,437,6,42.2,10.32
V Sehwag,15,136,235,6,22.4,10.37
DG Nalkande,6,84,148,6,14.0,10.57
S Dube,19,154,277,6,25.4,10.79
Ashok Sharma,6,126,228,6,21.0,10.86
K Khejroliya,9,151,277,6,25.1,11.01
OF Smith,6,90,178,6,15.0,11.87
